date_of_establishment,index,country,camp_name,sample,coefficient_variation_ndvi,daytime_maximum_temperature,evi_change,flow_accumulation,friction,interannual_coefficient_variation_precipitation,pdsi,population,precipitation,seasonal_precipitation_max,slope,specific_humidity,ssm,susm,temperature_anomaly,longitude,latitude,edge,exposure,rank,percentile,min_exposure,max_exposure,min_rank,min_percentile,max_rank,max_percentile
2013,13,South Sudan,Ajuong Thok,study_camp,0.990375808,0.762606892,0,0.000125954,0.131626091,0.588772706,0.923082019,0.074180754,0.286423454,0.429981602,0.050210508,0.361514502,0.805267326,0.770879575,0.311109191,30.27976268,9.965489915,['Sudan-South Sudan'],0.42279275,213,0.576846307,0.372763823,0.465059429,226,0.550898204,213,0.576846307
2016,6,Uganda,Bidi Bidi,study_camp,0.583209371,0.777832153,0.252937305,0.000440673,0.00630522,0.12668786,0.325386262,0.224389426,0.15550631,0.353685516,0.063165024,0.841484393,0.580908139,0.621896445,0,31.38299819,3.468532851,['South Sudan-Uganda'],0.293763777,359,0.285429142,0.238991716,0.323140155,356,0.291417166,359,0.285429142
1992,3,Kenya,Dagahaley,study_camp,0.380400792,0.780219825,0.462673713,0.000322646,0.002580076,0.556907448,0.216067027,0.38019924,0.653485452,0.290922522,0.015640076,0.675342933,0.975040619,0.916346697,1.21E-10,40.2901574,0.186054086,"['Somalia-Kenya', 'Ethiopia-Kenya']",0.378775329,636,0.365634366,0.3191488,0.416652862,741,0.260739261,634,0.367632368
1992,2,Kenya,Hagadera,study_camp,0.223749209,0.74294361,0.600822709,0.01970393,0.004956909,0.597231777,0.218942556,0.202175406,0.712022668,0.300770777,0.027068802,0.691294051,0.99168241,0.829121955,0.032191201,40.37106715,0.001313894,"['Somalia-Kenya', 'Ethiopia-Kenya']",0.394437154,487,0.514485514,0.334712628,0.433385178,590,0.411588412,494,0.507492507
1992,4,Kenya,Ifo,study_camp,0.42416721,0.780219825,0.488883146,0.023875352,0.003759316,0.674032294,0.204744483,0.348336585,0.674201551,0.310101045,0.020701429,0.683609105,0.986970129,0.883549519,1.21E-10,40.3151973,0.11604012,"['Somalia-Kenya', 'Ethiopia-Kenya']",0.396564957,473,0.528471528,0.33752444,0.436221453,561,0.440559441,471,0.53046953
1992,1,Kenya,Kakuma,study_camp,0.427658594,0.912374704,0.490969627,0.033640584,0.006822257,0.503034253,0.885084128,0.150378109,0.38047562,0.081084409,0.017374934,0.584958357,0.756468866,0.754533752,0.746484837,34.83166342,3.744966881,"['South Sudan-Kenya', 'Somalia-Kenya', 'Ethiopia-Kenya', 'Uganda-Kenya']",0.446163904,603,0.697651174,0.399542824,0.490098069,629,0.684657671,617,0.690654673
2014,5,Ethiopia,Kule,study_camp,0.680807416,0.754882294,0.0967819,7.14E-05,0.019839717,0.20244944,0.204623881,0.100135062,0.135454883,0.160265636,0.140414397,0.819322207,0.423410578,0.399107466,6.83E-11,34.29152951,8.275402703,['South Sudan-Ethiopia'],0.260066766,372,0.259481038,0.204141222,0.286073442,394,0.215568862,372,0.259481038
2010,11,Ethiopia,Melkadida,study_camp,0.454286128,0.857822471,0.071785043,0.000479799,0,0.814256298,0.274315853,0.030476863,0.465429409,0.615828956,0.060525129,0.894050866,0.780988307,0.681422482,0.704743559,41.72082819,4.519205931,['Somalia-Ethiopia'],0.497130968,278,0.447105788,0.457438978,0.546844065,273,0.457085828,277,0.449101796
2016,9,Tanzania,Mtendeli,study_camp,0.45690749,0.241506234,0.664700635,0.00077414,0.014272787,0.314049098,0.389588683,0.053709674,0.216784775,0.708017858,0.223137491,0.234639692,0.727757184,0.509419137,1,30.88848332,-3.427341721,['Burundi-Tanzania'],0.370047995,426,0.151696607,0.307052794,0.40697538,433,0.137724551,427,0.149700599
2015,8,Tanzania,Nduta,study_camp,0.429284067,0.372380225,0.523075071,0.001737365,0.025562136,0.413954307,0.366215642,0.027590877,0.243610522,0.866013545,0.102835685,0.235878535,0.718622643,0.474351802,1,30.84125515,-3.656156305,['Burundi-Tanzania'],0.3951646,384,0.235528942,0.334681061,0.434507324,388,0.22754491,384,0.235528942
2016,17,Ethiopia,Nguenyyiel,study_camp,0.73135079,0.716872001,0.08722766,0.004852725,0.001582451,0.225783996,0.188136758,0.100134904,0.163509495,0.148840437,0.131445003,0.812803262,0.423410578,0.399107466,6.83E-11,34.24053729,8.295809043,['South Sudan-Ethiopia'],0.256112428,380,0.243512974,0.200443344,0.281723671,406,0.191616766,380,0.243512974
1996,14,Tanzania,Nyarugusu,study_camp,0.396606204,0.777274761,0.231390644,0.003287697,0.00631825,0.455573834,0.234080698,0.189964717,0.378935854,0.289418072,0.047312504,0.665412882,0.557937378,0.37095376,1,30.38945,-4.230328622,"['Dem Rep of the Congo-Tanzania', 'Burundi-Tanzania']",0.401413812,492,0.509490509,0.341555193,0.441226423,574,0.427572428,490,0.511488511
2014,16,Uganda,Nyumanzi,study_camp,0.713841738,0.7155045,0,0.001368576,0.007464253,0.141677853,0.482661368,0.074385906,0.150820392,0.298578405,0.024006609,0.879718988,0.668278354,0.688612088,0,31.94519833,3.467143689,['South Sudan-Uganda'],0.306370845,339,0.325349301,0.249036031,0.33700793,336,0.331337325,339,0.325349301
2016,15,Uganda,Palorinya,study_camp,0.485000806,0.725532142,0.205941522,0.003060642,0.006954564,0.141005064,0.419101902,0.048246873,0.077691326,0.292540987,0.034556626,0.93838668,0.784543753,0.726852422,0,31.62783628,3.48611077,['South Sudan-Uganda'],0.31121579,328,0.347305389,0.248498701,0.342337369,336,0.331337325,328,0.347305389
2018,12,South Sudan,Pamir,study_camp,1,0.730665491,0.412368419,9.48E-06,0.236979552,0.596506963,0.925441916,0.074181041,0.354106088,0.520031308,0.043271144,0.355853434,0.7854743,0.753964853,0.311109191,30.35590412,9.909969469,['Sudan-South Sudan'],0.441768079,164,0.674650699,0.393400695,0.485943939,170,0.662674651,163,0.676646707
1993,10,Ethiopia,Pugnido,study_camp,0.447985198,0.708655415,0.407059562,9.35E-05,0.011283911,0.283596435,0.312385353,0.028579553,0.189565446,0.129144954,0.030129305,0.84420246,0.63723068,0.448382165,6.83E-11,34.25909953,7.645984031,['South Sudan-Ethiopia'],0.286026129,324,0.355289421,0.230208496,0.314628742,336,0.331337325,323,0.357285429
2012,7,South Sudan,Yida,study_camp,0.938741824,0.78760573,0,0.003802577,0.034341951,0.639807286,0.972147768,0.074180075,0.203185403,0.289675271,0.038815366,0.329571935,0.768426607,0.705899298,0.529015253,30.0860803,10.11305484,['Sudan-South Sudan'],0.417854104,225,0.552894212,0.362424738,0.459259257,250,0.502994012,225,0.552894212
