Unnamed: 0,index,country,camp_name,sample,coefficient_variation_ndvi,daytime_maximum_temperature,evi_change,flow_accumulation,friction,interannual_coefficient_variation_precipitation,pdsi,population,precipitation,seasonal_precipitation_max,slope,specific_humidity,ssm,susm,temperature_anomaly,longitude,latitude,edge,exposure,rank,percentile,min_exposure,max_exposure,min_rank,min_percentile,max_rank,max_percentile
1,2,Kenya,Hagadera,study_camp,0.2237492085558066,0.7429436103444116,0.6008227090846823,0.0197039300181432,0.0049569093611142,0.5972317774460847,0.2189425555320541,0.2021754057451489,0.71202266801046,0.3007707771924197,0.0270688018042579,0.69129405106648,0.9916824102679128,0.8291219551314808,0.0321912014111716,40.37106714941989,0.001313893713708,"['Somalia-Kenya', 'Ethiopia-Kenya']",0.3944371538595009,487.0,0.5144855144855145,0.3347126282186597,0.4333851783093395,590.0,0.4115884115884116,494.0,0.5074925074925075
1008,0000000000000000001b,Kenya,,sample_camp,0.7268789834332884,0.59812504747605,0.4774362288826937,0.002587876668373,0.2503416786297741,0.137890405362945,0.8803517458722133,0.0008022061339947,0.7378614166525717,0.2445039917312262,0.0746722706682676,0.2363353496893583,0.8297912872681986,0.4982303312729985,0.948337390997002,36.78494786,4.221228061,Ethiopia-Kenya,0.4491634964559982,203.0,0.7982017982017982,0.3992461070018978,0.4938210584347607,202.0,0.7992007992007992,203.0,0.7982017982017982
1009,0000000000000000011b,Kenya,,sample_camp,0.6695484137833234,0.59812504747605,0.4853772056337097,0.0084146083803429,0.146789903480523,0.1606359086891335,0.8727320346617651,0.0008022036169211,0.7182664775346259,0.1313179660764396,0.1579695677516805,0.2999644913484076,0.800454317424013,0.4505706837009317,0.948337390997002,36.77603324,4.316938038,Ethiopia-Kenya,0.4402734285290894,250.0,0.7512487512487512,0.3894670322822981,0.483459310543964,252.0,0.7492507492507493,253.0,0.7482517482517482
1010,1.00E+06,Kenya,,sample_camp,0.6557452725200874,0.59812504747605,0.4451549524568637,0.0086822208974512,0.1439392753012874,0.1427437226240114,0.8686363246621779,0.0008022036594413,0.7527738215733177,0.1593980655206461,0.2222389358998382,0.2599853713803418,0.7902548590219083,0.5679729700259439,0.948337390997002,36.85565044,4.317464631,Ethiopia-Kenya,0.4450104577594574,225.0,0.7762237762237763,0.394677764435703,0.4886432814456581,224.0,0.7772227772227772,229.0,0.7722277722277723
1011,0000000000000000002e,Kenya,,sample_camp,0.1501152542432128,0.7904818208776832,0.5541477283911219,0.0012094028217818,0.2774022841475299,0.4624691338515272,0.8980356676933465,0.0004017176760966,0.6610043655462745,0.1045876845280741,0.1175229797362749,0.2794711966573052,0.9092938478243586,0.7826301387059297,0.948337390997002,36.81426598,3.478166276,Ethiopia-Kenya,0.495437797698287,67.0,0.934065934065934,0.4501478383684156,0.5448606371859376,64.0,0.9370629370629372,67.0,0.934065934065934
1012,54,Kenya,,sample_camp,0.3291257180399745,0.7904818208776832,0.551783808392767,0.0292808381801738,0.2668799501919194,0.5427094275954633,0.911206461172688,0.0019965725859164,0.6339232917029677,0.053849097927955,0.0273440460247762,0.2794711966573052,0.9418573618034132,0.8036028654980737,0.948337390997002,36.84916451,3.434351647,Ethiopia-Kenya,0.4932128075573951,72.0,0.929070929070929,0.4477003492134345,0.539799683710657,70.0,0.9310689310689312,77.0,0.924075924075924
1013,0.00E+00,Kenya,,sample_camp,0.2820500328855359,0.7904818208776832,0.5571575298920051,0.0002559587665612,0.2675137426290541,0.5476861701674081,0.9094339829908276,0.0019965740395455,0.6349350174862839,0.0603481082041507,0.0213651527233192,0.2794711966573052,0.9483073618776244,0.8043522142697063,0.948337390997002,36.85242302,3.416017086,Ethiopia-Kenya,0.4916487184888382,75.0,0.926073926073926,0.4459798512380218,0.540787994461066,75.0,0.926073926073926,73.0,0.928071928071928
1014,000000000000000001b8,Kenya,,sample_camp,0.5273680823573829,0.7592380329222346,0.5069143535963433,0.0128136447961376,0.2809622857749503,0.2459535893620425,0.8953313184283259,0.0004017155134554,0.6782132214170873,0.1036253231267259,0.2188300868856356,0.3453702150910983,0.8203231009213053,0.5984761475041339,0.948337390997002,36.35110706,3.662487587,Ethiopia-Kenya,0.4826362008838677,88.0,0.913086913086913,0.4360660818725542,0.5296184564926407,88.0,0.913086913086913,90.0,0.9110889110889112
1015,1.00E+03,Kenya,,sample_camp,0.358368458711252,0.7592380329222346,0.5209431668318433,0.0006033025458416,0.2693863253239093,0.2273022894095314,0.9036325551525076,0.0004017149664318,0.6669804973674314,0.1314943389389966,0.0390097325412015,0.3002035251981518,0.822162967437081,0.6036489200872842,0.948337390997002,36.41103804,3.705372049,Ethiopia-Kenya,0.460759177984899,160.0,0.8411588411588412,0.4120013566836887,0.5067747655288047,161.0,0.8401598401598401,159.0,0.8421578421578422
1016,000000000000000000c0,Kenya,,sample_camp,0.3419745650748903,0.6120940049294621,0.4289120230907986,0.001545473622622,0.3036541339879179,0.256903004281165,0.9056278306954488,0.0004017150600055,0.6944471419571339,0.1404733979129394,0.1102426324646766,0.1902613389517311,0.8571723214570389,0.6078827455012044,0.948337390997002,36.67334287,3.695926387,Ethiopia-Kenya,0.4564326064779216,175.0,0.8261738261738262,0.4072421280260135,0.5019213197634516,176.0,0.8251748251748252,174.0,0.8271728271728271
1017,0.00E+00,Kenya,,sample_camp,0.4000991214247735,0.5976429390537998,0.6308456087694386,0.0026491528672827,0.3460293370123086,0.257580591544562,0.8404143136995075,0.0148318369947494,0.7681590270149184,0.2606619276325945,0.6293696777638645,0.3438777494600875,0.6877174536704543,0.3016538233499156,0.948337390997002,35.79997394,4.215117875,Ethiopia-Kenya,0.51658541461058,35.0,0.966033966033966,0.4734102169719379,0.5679790407849098,32.0,0.9690309690309692,35.0,0.966033966033966
